databaseA,databaseB,descriptionA,descriptionB,label,,
classroom-room_number,XS-zzcj,room_number: represents the unique identifier of the classroom within the building.,zzcj: the final grade of the student in the course,0,,
classroom-room_number,XS-jsId,room_number: represents the unique identifier of the classroom within the building.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-room_number,ZY-zym,room_number: represents the unique identifier of the classroom within the building.,zym: the name of the major,0,,
classroom-room_number,ZY-yxmc,room_number: represents the unique identifier of the classroom within the building.,yxmc: the name of the school that offers the major,0,,
classroom-room_number,ZY-xxnf,room_number: represents the unique identifier of the classroom within the building.,xxnf: the academic year when the major is offered,0,,
classroom-room_number,XX-xsId,room_number: represents the unique identifier of the classroom within the building.,xsId: the identifier of the student who takes the course,0,,
classroom-room_number,XX-pxkId,room_number: represents the unique identifier of the classroom within the building.,pxkId: the identifier of the course offering being taken,0,,
classroom-room_number,XX-cj,room_number: represents the unique identifier of the classroom within the building.,cj: the grade of the student in the course,0,,
classroom-room_number,SJ-scId,room_number: represents the unique identifier of the classroom within the building.,scId: a unique identifier for each timeslot,0,,
classroom-room_number,SJ-xq,room_number: represents the unique identifier of the classroom within the building.,xq: the academic term or semester when the timeslot is offered,0,,
classroom-room_number,SJ-kssj,room_number: represents the unique identifier of the classroom within the building.,kssj: the start time of the timeslot,0,,
classroom-room_number,SJ-jssj,room_number: represents the unique identifier of the classroom within the building.,jssj: the end time of the timeslot,0,,
classroom-room_number,XQ-kcId,room_number: represents the unique identifier of the classroom within the building.,kcId: the identifier of the course being taken,0,,
classroom-room_number,XQ-xykcId,room_number: represents the unique identifier of the classroom within the building.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
classroom-capacity,JZ-jzId,capacity: represents the maximum number of students that the classroom can accommodate.,jzId: identifier of a building,0,,
classroom-capacity,JZ-jzName,capacity: represents the maximum number of students that the classroom can accommodate.,jzName: the name of a building,0,,
classroom-capacity,JZ-wz,capacity: represents the maximum number of students that the classroom can accommodate.,wz: location of the building,0,,
classroom-capacity,FJ-jzId,capacity: represents the maximum number of students that the classroom can accommodate.,jzId: identifier of a building,0,,
classroom-capacity,FJ-fjh,capacity: represents the maximum number of students that the classroom can accommodate.,fjh: room number,0,,
classroom-capacity,FJ-rs,capacity: represents the maximum number of students that the classroom can accommodate.,rs: number of occupants in the room.,1,,
classroom-capacity,ysAp-jzId,capacity: represents the maximum number of students that the classroom can accommodate.,jzId: identifier of a building,0,,
classroom-capacity,ysAp-fjh,capacity: represents the maximum number of students that the classroom can accommodate.,fjh: room number,0,,
classroom-capacity,ysAp-sj,capacity: represents the maximum number of students that the classroom can accommodate.,sj: time of an event,0,,
classroom-capacity,ysAp-scId,capacity: represents the maximum number of students that the classroom can accommodate.,scId: identifier of a time slot,0,,
classroom-capacity,ysAp-ddrId,capacity: represents the maximum number of students that the classroom can accommodate.,ddrId: identifier of the person who booked the room,0,,
classroom-capacity,ysAp-yy,capacity: represents the maximum number of students that the classroom can accommodate.,yy: reason for booking the room,0,,
classroom-capacity,YX-yxmc,capacity: represents the maximum number of students that the classroom can accommodate.,yxmc: name of a department,0,,
classroom-capacity,YX-jzId,capacity: represents the maximum number of students that the classroom can accommodate.,jzId: identifier of a building,0,,
classroom-capacity,YX-ys,capacity: represents the maximum number of students that the classroom can accommodate.,ys: budget for the department,0,,
classroom-capacity,KC-kcId,capacity: represents the maximum number of students that the classroom can accommodate.,kcId: identifier of a course,0,,
classroom-capacity,KC-mc,capacity: represents the maximum number of students that the classroom can accommodate.,mc: name of a course,0,,
classroom-capacity,KC-yxmc,capacity: represents the maximum number of students that the classroom can accommodate.,yxmc: name of the department offering the course,0,,
classroom-capacity,KC-xf,capacity: represents the maximum number of students that the classroom can accommodate.,xf: credits for the course.,0,,
classroom-capacity,KC-yy,capacity: represents the maximum number of students that the classroom can accommodate.,yy: language of instruction for the course,0,,
classroom-capacity,JS-jsId,capacity: represents the maximum number of students that the classroom can accommodate.,jsId: a unique identifier for each teacher,0,,
classroom-capacity,JS-xm,capacity: represents the maximum number of students that the classroom can accommodate.,xm: the name of the teacher,0,,
classroom-capacity,JS-yxmc,capacity: represents the maximum number of students that the classroom can accommodate.,yxmc: the name of the school where the teacher works,0,,
classroom-capacity,JS-gn,capacity: represents the maximum number of students that the classroom can accommodate.,gn: the teacher's expertise or specialty,0,,
classroom-capacity,JS-zj,capacity: represents the maximum number of students that the classroom can accommodate.,zj: the teacher's rank or seniority,0,,
classroom-capacity,PXK-pxkId,capacity: represents the maximum number of students that the classroom can accommodate.,pxkId: a unique identifier for each course offering,0,,
classroom-capacity,PXK-kcId,capacity: represents the maximum number of students that the classroom can accommodate.,kcId: the identifier of the course being offered,0,,
classroom-capacity,PXK-khId,capacity: represents the maximum number of students that the classroom can accommodate.,khId: the identifier of the class section,0,,
classroom-capacity,PXK-xq,capacity: represents the maximum number of students that the classroom can accommodate.,xq: the academic term or semester when the course is offered,0,,
classroom-capacity,PXK-nf,capacity: represents the maximum number of students that the classroom can accommodate.,nf: the academic year when the course is offered,0,,
classroom-capacity,KCM-pxkId,capacity: represents the maximum number of students that the classroom can accommodate.,pxkId: the identifier of the course offering,0,,
classroom-capacity,KCM-jzId,capacity: represents the maximum number of students that the classroom can accommodate.,jzId: the identifier of the building where the course is held,0,,
classroom-capacity,KCM-fjh,capacity: represents the maximum number of students that the classroom can accommodate.,fjh: the room number or identifier where the course is held,0,,
classroom-capacity,KCM-scId,capacity: represents the maximum number of students that the classroom can accommodate.,scId: the identifier of the timeslot when the course is held,0,,
classroom-capacity,JX-jsId,capacity: represents the maximum number of students that the classroom can accommodate.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-capacity,JX-pxkId,capacity: represents the maximum number of students that the classroom can accommodate.,pxkId: the identifier of the course offering being instructed,0,,
classroom-capacity,JX-khr,capacity: represents the maximum number of students that the classroom can accommodate.,khr: the date when the course instruction starts,0,,
classroom-capacity,JX-scId,capacity: represents the maximum number of students that the classroom can accommodate.,scId: the identifier of the timeslot when the course instruction is held,0,,
classroom-capacity,JX-khjzId,capacity: represents the maximum number of students that the classroom can accommodate.,khjzId: the identifier of the building where the course instruction is held,0,,
classroom-capacity,JX-khfjh,capacity: represents the maximum number of students that the classroom can accommodate.,khfjh: the room number or identifier where the course instruction is held,0,,
classroom-capacity,XS-xsId,capacity: represents the maximum number of students that the classroom can accommodate.,xsId: a unique identifier for each student,0,,
classroom-capacity,XS-xm,capacity: represents the maximum number of students that the classroom can accommodate.,xm: the name of the student,0,,
classroom-capacity,XS-yxmc,capacity: represents the maximum number of students that the classroom can accommodate.,yxmc: the name of the school where the student is enrolled,0,,
classroom-capacity,XS-zxf,capacity: represents the maximum number of students that the classroom can accommodate.,zxf: the total credits that the student has taken or is taking,0,,
classroom-capacity,XS-zym,capacity: represents the maximum number of students that the classroom can accommodate.,zym: the name of the student's major,0,,
classroom-capacity,XS-zzcj,capacity: represents the maximum number of students that the classroom can accommodate.,zzcj: the final grade of the student in the course,0,,
classroom-capacity,XS-jsId,capacity: represents the maximum number of students that the classroom can accommodate.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-capacity,ZY-zym,capacity: represents the maximum number of students that the classroom can accommodate.,zym: the name of the major,0,,
classroom-capacity,ZY-yxmc,capacity: represents the maximum number of students that the classroom can accommodate.,yxmc: the name of the school that offers the major,0,,
classroom-capacity,ZY-xxnf,capacity: represents the maximum number of students that the classroom can accommodate.,xxnf: the academic year when the major is offered,0,,
classroom-capacity,XX-xsId,capacity: represents the maximum number of students that the classroom can accommodate.,xsId: the identifier of the student who takes the course,0,,
classroom-capacity,XX-pxkId,capacity: represents the maximum number of students that the classroom can accommodate.,pxkId: the identifier of the course offering being taken,0,,
classroom-capacity,XX-cj,capacity: represents the maximum number of students that the classroom can accommodate.,cj: the grade of the student in the course,0,,
classroom-capacity,SJ-scId,capacity: represents the maximum number of students that the classroom can accommodate.,scId: a unique identifier for each timeslot,0,,
classroom-capacity,SJ-xq,capacity: represents the maximum number of students that the classroom can accommodate.,xq: the academic term or semester when the timeslot is offered,0,,
classroom-capacity,SJ-kssj,capacity: represents the maximum number of students that the classroom can accommodate.,kssj: the start time of the timeslot,0,,
classroom-capacity,SJ-jssj,capacity: represents the maximum number of students that the classroom can accommodate.,jssj: the end time of the timeslot,0,,
classroom-capacity,XQ-kcId,capacity: represents the maximum number of students that the classroom can accommodate.,kcId: the identifier of the course being taken,0,,
classroom-capacity,XQ-xykcId,capacity: represents the maximum number of students that the classroom can accommodate.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
department-dept_name,JZ-jzId,dept_name: represents the name of the department.,jzId: identifier of a building,0,,
department-dept_name,JZ-jzName,dept_name: represents the name of the department.,jzName: the name of a building,0,,
department-dept_name,JZ-wz,dept_name: represents the name of the department.,wz: location of the building,0,,
department-dept_name,FJ-jzId,dept_name: represents the name of the department.,jzId: identifier of a building,0,,
department-dept_name,FJ-fjh,dept_name: represents the name of the department.,fjh: room number,0,,
department-dept_name,FJ-rs,dept_name: represents the name of the department.,rs: number of occupants in the room.,0,,
department-dept_name,ysAp-jzId,dept_name: represents the name of the department.,jzId: identifier of a building,0,,
department-dept_name,ysAp-fjh,dept_name: represents the name of the department.,fjh: room number,0,,
department-dept_name,ysAp-sj,dept_name: represents the name of the department.,sj: time of an event,0,,
department-dept_name,ysAp-scId,dept_name: represents the name of the department.,scId: identifier of a time slot,0,,
department-dept_name,ysAp-ddrId,dept_name: represents the name of the department.,ddrId: identifier of the person who booked the room,0,,
department-dept_name,ysAp-yy,dept_name: represents the name of the department.,yy: reason for booking the room,0,,
department-dept_name,YX-yxmc,dept_name: represents the name of the department.,yxmc: name of a department,1,,
department-dept_name,YX-jzId,dept_name: represents the name of the department.,jzId: identifier of a building,0,,
department-dept_name,YX-ys,dept_name: represents the name of the department.,ys: budget for the department,0,,
department-dept_name,KC-kcId,dept_name: represents the name of the department.,kcId: identifier of a course,0,,
department-dept_name,KC-mc,dept_name: represents the name of the department.,mc: name of a course,0,,
department-dept_name,KC-yxmc,dept_name: represents the name of the department.,yxmc: name of the department offering the course,1,,
department-dept_name,KC-xf,dept_name: represents the name of the department.,xf: credits for the course.,0,,
department-dept_name,KC-yy,dept_name: represents the name of the department.,yy: language of instruction for the course,0,,
department-dept_name,JS-jsId,dept_name: represents the name of the department.,jsId: a unique identifier for each teacher,0,,
department-dept_name,JS-xm,dept_name: represents the name of the department.,xm: the name of the teacher,0,,
department-dept_name,JS-yxmc,dept_name: represents the name of the department.,yxmc: the name of the school where the teacher works,1,,
department-dept_name,JS-gn,dept_name: represents the name of the department.,gn: the teacher's expertise or specialty,0,,
department-dept_name,JS-zj,dept_name: represents the name of the department.,zj: the teacher's rank or seniority,0,,
department-dept_name,PXK-pxkId,dept_name: represents the name of the department.,pxkId: a unique identifier for each course offering,0,,
department-dept_name,PXK-kcId,dept_name: represents the name of the department.,kcId: the identifier of the course being offered,0,,
department-dept_name,PXK-khId,dept_name: represents the name of the department.,khId: the identifier of the class section,0,,
department-dept_name,PXK-xq,dept_name: represents the name of the department.,xq: the academic term or semester when the course is offered,0,,
department-dept_name,PXK-nf,dept_name: represents the name of the department.,nf: the academic year when the course is offered,0,,
department-dept_name,KCM-pxkId,dept_name: represents the name of the department.,pxkId: the identifier of the course offering,0,,
department-dept_name,KCM-jzId,dept_name: represents the name of the department.,jzId: the identifier of the building where the course is held,0,,
department-dept_name,KCM-fjh,dept_name: represents the name of the department.,fjh: the room number or identifier where the course is held,0,,
department-dept_name,KCM-scId,dept_name: represents the name of the department.,scId: the identifier of the timeslot when the course is held,0,,
department-dept_name,JX-jsId,dept_name: represents the name of the department.,jsId: the identifier of the teacher who instructs the course,0,,
department-dept_name,JX-pxkId,dept_name: represents the name of the department.,pxkId: the identifier of the course offering being instructed,0,,
department-dept_name,JX-khr,dept_name: represents the name of the department.,khr: the date when the course instruction starts,0,,
department-dept_name,JX-scId,dept_name: represents the name of the department.,scId: the identifier of the timeslot when the course instruction is held,0,,
department-dept_name,JX-khjzId,dept_name: represents the name of the department.,khjzId: the identifier of the building where the course instruction is held,0,,
department-dept_name,JX-khfjh,dept_name: represents the name of the department.,khfjh: the room number or identifier where the course instruction is held,0,,
department-dept_name,XS-xsId,dept_name: represents the name of the department.,xsId: a unique identifier for each student,0,,
department-dept_name,XS-xm,dept_name: represents the name of the department.,xm: the name of the student,0,,
department-dept_name,XS-yxmc,dept_name: represents the name of the department.,yxmc: the name of the school where the student is enrolled,1,,
department-dept_name,XS-zxf,dept_name: represents the name of the department.,zxf: the total credits that the student has taken or is taking,0,,
department-dept_name,XS-zym,dept_name: represents the name of the department.,zym: the name of the student's major,0,,
department-dept_name,XS-zzcj,dept_name: represents the name of the department.,zzcj: the final grade of the student in the course,0,,
department-dept_name,XS-jsId,dept_name: represents the name of the department.,jsId: the identifier of the teacher who instructs the course,0,,
department-dept_name,ZY-zym,dept_name: represents the name of the department.,zym: the name of the major,0,,
department-dept_name,ZY-yxmc,dept_name: represents the name of the department.,yxmc: the name of the school that offers the major,1,,
department-dept_name,ZY-xxnf,dept_name: represents the name of the department.,xxnf: the academic year when the major is offered,0,,
department-dept_name,XX-xsId,dept_name: represents the name of the department.,xsId: the identifier of the student who takes the course,0,,
department-dept_name,XX-pxkId,dept_name: represents the name of the department.,pxkId: the identifier of the course offering being taken,0,,
department-dept_name,XX-cj,dept_name: represents the name of the department.,cj: the grade of the student in the course,0,,
department-dept_name,SJ-scId,dept_name: represents the name of the department.,scId: a unique identifier for each timeslot,0,,
department-dept_name,SJ-xq,dept_name: represents the name of the department.,xq: the academic term or semester when the timeslot is offered,0,,
department-dept_name,SJ-kssj,dept_name: represents the name of the department.,kssj: the start time of the timeslot,0,,
department-dept_name,SJ-jssj,dept_name: represents the name of the department.,jssj: the end time of the timeslot,0,,
department-dept_name,XQ-kcId,dept_name: represents the name of the department.,kcId: the identifier of the course being taken,0,,
department-dept_name,XQ-xykcId,dept_name: represents the name of the department.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
department-building,JZ-jzId,building: represents the name or code of the building where the department is located.,jzId: identifier of a building,1,,
department-building,JZ-jzName,building: represents the name or code of the building where the department is located.,jzName: the name of a building,0,,
department-building,JZ-wz,building: represents the name or code of the building where the department is located.,wz: location of the building,0,,
department-building,FJ-jzId,building: represents the name or code of the building where the department is located.,jzId: identifier of a building,1,,
department-building,FJ-fjh,building: represents the name or code of the building where the department is located.,fjh: room number,0,,
department-building,FJ-rs,building: represents the name or code of the building where the department is located.,rs: number of occupants in the room.,0,,
department-building,ysAp-jzId,building: represents the name or code of the building where the department is located.,jzId: identifier of a building,1,,
department-building,ysAp-fjh,building: represents the name or code of the building where the department is located.,fjh: room number,0,,
department-building,ysAp-sj,building: represents the name or code of the building where the department is located.,sj: time of an event,0,,
department-building,ysAp-scId,building: represents the name or code of the building where the department is located.,scId: identifier of a time slot,0,,
department-building,ysAp-ddrId,building: represents the name or code of the building where the department is located.,ddrId: identifier of the person who booked the room,0,,
department-building,ysAp-yy,building: represents the name or code of the building where the department is located.,yy: reason for booking the room,0,,
department-building,YX-yxmc,building: represents the name or code of the building where the department is located.,yxmc: name of a department,0,,
department-building,YX-jzId,building: represents the name or code of the building where the department is located.,jzId: identifier of a building,1,,
department-building,YX-ys,building: represents the name or code of the building where the department is located.,ys: budget for the department,0,,
department-building,KC-kcId,building: represents the name or code of the building where the department is located.,kcId: identifier of a course,0,,
department-building,KC-mc,building: represents the name or code of the building where the department is located.,mc: name of a course,0,,
department-building,KC-yxmc,building: represents the name or code of the building where the department is located.,yxmc: name of the department offering the course,0,,
department-building,KC-xf,building: represents the name or code of the building where the department is located.,xf: credits for the course.,0,,
department-building,KC-yy,building: represents the name or code of the building where the department is located.,yy: language of instruction for the course,0,,
department-building,JS-jsId,building: represents the name or code of the building where the department is located.,jsId: a unique identifier for each teacher,0,,
department-building,JS-xm,building: represents the name or code of the building where the department is located.,xm: the name of the teacher,0,,
department-building,JS-yxmc,building: represents the name or code of the building where the department is located.,yxmc: the name of the school where the teacher works,0,,
department-building,JS-gn,building: represents the name or code of the building where the department is located.,gn: the teacher's expertise or specialty,0,,
department-building,JS-zj,building: represents the name or code of the building where the department is located.,zj: the teacher's rank or seniority,0,,
department-building,PXK-pxkId,building: represents the name or code of the building where the department is located.,pxkId: a unique identifier for each course offering,0,,
department-building,PXK-kcId,building: represents the name or code of the building where the department is located.,kcId: the identifier of the course being offered,0,,
department-building,PXK-khId,building: represents the name or code of the building where the department is located.,khId: the identifier of the class section,0,,
department-building,PXK-xq,building: represents the name or code of the building where the department is located.,xq: the academic term or semester when the course is offered,0,,
